1N4EB32H0PC7,Datsun/Nissan,Sentra
JHLRD78822C0,Honda,CR-V
1D7HL48NX4S5,Dodge,Dakota
1HD1BWB194Y0,Harley-Davidson,750cc or greater
2G1WW12E5Y91,Chevrolet,Monte Carlo (1995 on)
WBACB4328RFL,BMW,3-series
1N6BD06T16C4,Datsun/Nissan,Frontier (1998 on)
1GNEK13R7VJ4,Chevrolet,Fullsize Blazer/Tahoe
JTHBF30G3301,Lexus,ES-250/300/300h/330/ 350
JHMBB6241WC0,Honda,Prelude
4V4NC9TG8AN2,Volvo,Medium/Heavy – CBE
5TEWM72NX1Z7,Toyota,Tacoma
1GNCS18W81K2,Chevrolet,"S-10 Blazer/TrailBlazer (2002 only; for 2003 on, see 403)"
5Y4AM16Y48A0,Yamaha,350cc or greater (ATV)
1GCHC24U63Z1,Ford,F-Series pickup
1D7HE28K38S5,Dodge,Dakota
1FMZU67K04UC,Ford,Explorer Sport Trac
1FTZR45E22PA,Ford,Ranger
1FAFP4047YF2,Ford,Mustang/Mustang II
4S2CG58Z4M43,Isuzu,Rodeo/ Rodeo Sport
1GYEC63T82R1,Cadillac,Escalade/ESV (from 2004 on; see 431 for 2003 only)
1J4FF48S9YL1,Jeep / Kaiser-Jeep / Willys- Jeep,Cherokee (1984-on)
1FTNW21P74EC,Ford,F-Series pickup
2C3HD46J5WH1,Chrysler,Concorde
3CZRE3H56AG7,Honda,CR-V
1FUJA6CK07PX,Freightliner,Medium/Heavy – COE high entry
CA499028,Other Make,Other (vehicle)
1FMRU15L61LA,Ford,Expedition
1GNES16S6362,Chevrolet,"TrailBlazer (2003 on; for 2002 model, see 401)"
1FAFP56S6YG1,Ford,Taurus/Taurus X
1GBJK34K5LE2,Chevrolet,Medium/Heavy – CBE
CKL189F14141,Chevrolet,Fullsize Blazer/Tahoe
JN1CA21D3XM4,Datsun/Nissan,810/Maxima
5GZCZ53496S8,Saturn,Vue
1FMRU15L4YLB,Ford,Expedition
JT3AC11R8M00,Toyota,Minivan (1984-90)/ Previa (1991 on)
3N1CB51D71L4,Datsun/Nissan,Sentra
JT4VD20A9R00,Toyota,T-100
CKL149J14902,Chevrolet,"C, K, R, V-series pickup/Silverado"
1GKER16K2MF5,GMC,Suburban/Yukon XL (2000 on) (1950-2003 only; see 422 for 2004 on)
1FAFP55242G2,Ford,Taurus/Taurus X
U5B0024928,Other Make,0-50cc
1J4GW68N6XC7,Jeep / Kaiser-Jeep / Willys- Jeep,Cherokee (1984-on)
2J4FY29S3NJ5,Jeep / Kaiser-Jeep / Willys- Jeep,YJ series/Wrangler
1FTCR10A4RPA,Ford,Ranger
JKAEXEA107A0,Kawasaki,450-749cc
F14HCY65299,Ford,F-Series pickup
1G1FP87S5GN1,Chevrolet,Camaro
1GCEC19V07E1,Chevrolet,"C, K, R, V-series pickup/Silverado"
1G6KD54Y93U1,Cadillac,"Deville/Fleetwood,Coupe de Ville, Sedan de Ville, Fleetwood Brougham, Fleetwood 60 Special, d`Elegan"
1GNDT13S7222,Chevrolet,"S-10 Blazer/TrailBlazer (2002 only; for 2003 on, see 403)"
1N4CL21E68C2,Datsun/Nissan,Altima
1FMDU32P0TZB,Ford,Bronco (thru 1977)/Bronco II/Explorer/Explorer Sport
JH2RC0403CM3,Honda,750 cc or greater
1FAFP53U8XA2,Ford,Taurus/Taurus X
1GCEC19X85Z1,Chevrolet,"C, K, R, V-series pickup/Silverado"
3D7KR28A67G8,Dodge,Ram Pickup
JT3GP10V8V70,Toyota,RAV4 *
1GCEK19T04E2,Chevrolet,"C, K, R, V-series pickup/Silverado"
1HGCM56437A0,Honda,Accord
4M2DV11W6TDJ,Mercury,Villager
1FDSF35PX5ED,Ford,F-Series pickup
1D7HA16Z32J1,Dodge,Ram Pickup
2T1CF28P81C5,Toyota,Solara
JS1CP51AX421,Suzuki,450-749cc
1FAPP10J0PW4,Ford,Escort/EXP/ZX2
1GNEC13T5YJ1,Chevrolet,Fullsize Blazer/Tahoe
1FTDF17W5VKC,Ford,F-Series pickup
3FAHP07Z78R2,Ford,Fusion
1XKTD49X16J1,Kenworth,Medium/Heavy - CBE
